# source, target, weight, layer
0,1,1,3
0,352,1,3
1,77,2,1
1,106,1,1
1,219,1,1
1,321,2,1
1,347,1,3
2,3,1,2
2,216,1,2
3,224,1,1
3,258,1,1
3,224,1,2
3,258,1,2
3,260,1,2
3,338,1,2
4,5,1,1
4,6,1,1
4,160,2,1
4,301,1,1
5,6,1,1
6,215,1,1
6,221,1,1
6,345,1,1
7,8,2,1
7,295,1,1
8,9,1,1
8,34,1,1
8,39,3,1
8,58,1,1
9,10,2,1
9,295,1,1
10,348,2,1
10,36,1,2
10,251,1,2
11,12,1,3
11,156,1,3
12,65,1,3
12,290,1,3
12,324,1,3
13,14,1,1
13,354,1,1
14,300,1,1
15,16,1,1
16,117,1,1
16,122,1,1
17,18,1,2
17,318,1,2
18,309,1,2
19,20,1,1
19,181,1,1
20,39,1,1
21,22,1,1
21,169,1,1
22,262,1,1
23,24,1,1
23,73,1,1
24,311,1,1
25,26,1,1
25,95,1,1
26,97,1,1
26,191,1,1
26,192,1,1
27,28,1,1
27,29,2,1
27,30,3,1
27,31,1,1
27,175,1,1
27,187,1,1
27,350,1,1
28,67,1,1
28,68,1,1
28,279,1,1
29,49,1,1
29,315,1,1
30,184,3,1
31,68,1,1
32,33,1,1
32,127,1,1
33,358,1,1
34,35,1,1
34,39,1,1
34,119,1,1
34,180,1,1
34,36,1,3
35,56,1,1
35,69,1,1
35,343,1,1
36,337,1,2
36,289,1,3
36,360,1,3
37,38,3,1
37,39,3,1
38,181,3,1
40,41,1,1
40,170,2,1
40,363,1,2
41,52,1,1
42,43,1,1
42,199,1,1
43,185,1,1
44,45,1,1
44,46,1,1
44,221,2,1
45,46,1,1
45,161,2,1
45,162,1,1
45,196,1,1
45,261,1,1
47,48,2,1
47,49,2,1
48,162,2,1
48,246,1,1
48,310,1,1
49,174,1,1
49,292,1,1
49,313,1,1
49,314,1,1
50,51,1,3
50,325,1,3
51,146,1,3
52,53,1,1
53,147,1,1
54,55,1,1
54,201,1,1
55,99,1,1
56,57,1,1
57,102,1,1
57,103,1,2
57,333,1,2
58,59,1,1
59,76,2,1
59,219,1,1
59,348,2,1
60,61,2,1
60,179,2,1
61,109,2,1
62,63,1,1
62,336,1,1
62,64,1,2
62,226,1,2
64,284,1,2
65,66,1,3
66,106,1,3
67,68,1,1
67,213,1,1
67,214,1,1
67,252,1,1
67,320,1,1
68,183,1,1
68,206,1,1
68,213,1,1
69,70,1,1
70,176,1,1
70,277,1,1
71,72,1,1
71,250,1,1
72,301,1,1
73,361,1,1
74,75,1,3
74,326,1,3
75,156,1,3
76,77,2,1
78,79,1,1
78,131,1,1
79,201,1,1
80,81,1,1
81,130,1,1
81,257,1,1
81,351,1,1
82,83,1,2
82,84,1,2
83,193,1,2
84,103,1,2
85,86,1,2
85,87,1,2
86,187,1,1
86,265,1,1
86,189,1,2
87,260,1,2
88,89,1,1
88,332,1,1
89,151,1,1
90,91,1,1
90,173,1,1
91,131,1,1
92,93,1,2
92,116,1,2
93,364,1,2
94,95,1,1
94,181,1,1
96,97,1,2
96,98,1,2
97,181,1,1
97,111,1,2
98,208,1,2
99,100,1,1
99,101,1,1
99,262,1,1
100,101,1,1
100,181,2,1
100,183,2,1
100,182,1,2
102,105,1,1
102,104,1,3
102,324,1,3
103,327,1,2
103,355,1,2
104,239,1,3
105,106,1,1
106,107,1,3
106,108,1,3
106,347,1,3
107,142,1,3
108,323,1,3
109,110,2,1
110,295,2,1
111,112,1,2
111,113,1,2
112,149,1,2
113,150,1,2
114,115,1,1
114,346,1,1
115,271,1,1
116,233,1,2
117,125,1,1
118,119,1,1
118,135,1,1
120,121,2,1
120,213,1,1
120,281,1,1
121,179,2,1
121,180,2,1
121,214,2,1
123,124,1,1
123,210,1,1
124,332,1,1
125,296,1,1
126,127,1,1
126,130,1,1
128,129,1,2
128,153,1,2
129,255,1,2
132,133,1,1
132,358,1,1
133,344,1,1
134,135,1,1
134,281,1,1
135,206,1,1
135,245,1,1
136,137,1,3
136,239,1,3
137,256,1,3
138,139,1,2
138,209,1,2
139,226,1,2
140,141,1,1
140,296,1,1
142,143,1,3
143,325,1,3
144,145,1,3
144,256,1,3
145,154,1,3
146,197,1,3
147,148,1,1
148,177,1,1
149,220,1,2
150,217,1,2
151,152,1,1
152,357,1,1
153,317,1,2
154,155,1,3
155,178,1,3
157,158,1,1
157,298,1,1
158,265,1,1
159,160,1,1
159,299,1,1
160,300,1,1
161,162,1,1
161,200,3,1
163,164,1,1
163,223,1,1
164,338,1,1
165,166,2,1
165,167,2,1
166,232,1,1
166,329,1,1
167,253,2,1
168,169,1,1
168,186,1,1
170,322,2,1
171,172,1,1
171,341,1,1
172,316,1,1
174,175,1,1
176,180,1,1
176,257,1,1
177,247,1,1
180,214,1,1
180,277,1,1
180,343,1,1
181,184,3,1
181,245,1,1
182,266,1,2
183,205,1,1
185,210,1,1
186,294,1,1
186,365,1,1
187,188,1,1
187,272,1,1
188,350,1,1
189,190,1,2
190,207,1,2
191,293,1,1
192,336,1,1
193,194,1,2
194,318,1,2
194,356,1,2
195,196,1,1
195,316,1,1
196,254,1,2
196,261,1,2
198,199,1,1
198,330,1,1
200,273,1,1
200,339,2,1
202,203,2,1
202,204,2,1
204,280,2,1
205,206,1,1
206,281,1,1
207,208,1,2
207,209,1,2
211,212,1,1
211,303,1,1
212,222,1,1
213,281,1,1
214,349,2,1
215,264,1,1
215,216,1,2
215,264,1,2
217,218,1,2
218,219,1,2
219,282,1,1
219,326,1,3
219,352,1,3
219,353,1,3
220,251,1,2
221,328,1,1
222,223,1,1
223,299,1,1
224,225,1,1
224,225,1,2
225,305,1,1
225,305,1,2
227,229,1,1
227,228,1,2
227,229,1,2
228,233,1,2
229,263,1,1
229,263,1,2
230,231,1,1
230,232,1,1
230,302,1,1
231,306,1,1
234,235,1,1
234,236,1,1
234,237,1,1
235,237,1,1
236,248,1,1
237,238,1,1
240,241,1,1
241,359,1,1
242,243,2,1
242,244,2,1
243,253,2,1
246,338,1,1
247,362,1,1
248,249,1,1
249,250,1,1
252,273,1,1
254,255,1,2
258,259,1,1
258,259,1,2
259,267,1,1
259,266,1,2
261,338,1,2
263,304,1,1
263,304,1,2
264,331,1,1
264,331,1,2
267,268,1,1
268,292,1,1
269,270,1,3
269,291,1,3
271,272,1,1
272,298,1,1
272,306,1,1
274,275,2,1
274,276,2,1
275,280,2,1
276,314,2,1
278,279,1,1
278,310,1,1
282,283,1,1
283,286,1,1
283,287,1,1
284,285,1,2
285,288,1,2
286,340,1,1
287,330,1,1
288,363,1,2
289,290,1,3
290,324,1,3
291,323,1,3
293,361,1,1
296,297,1,1
297,307,1,1
302,308,1,1
303,335,1,1
304,305,1,1
304,305,1,2
307,308,1,1
311,312,1,1
314,315,1,1
317,327,1,2
319,320,1,1
319,351,1,1
320,339,2,1
320,349,2,1
321,322,2,1
328,345,1,1
329,342,1,1
332,340,1,1
333,337,1,2
334,335,1,1
334,366,1,1
341,368,1,1
342,354,1,1
359,365,1,1
367,368,1,1
