Contestant,Total score,Jury score,Televoting score,Netherlands,San Marino,North Macedonia,Malta,Ukraine,Albania,Estonia,Azerbaijan,Portugal,Germany,Belgium,Norway,Israel,Poland,Greece,Moldova,Bulgaria,Serbia,Iceland,Cyprus,Latvia,Spain,Switzerland,Denmark,France,Armenia,Montenegro,Romania,Ireland,Slovenia,Georgia,Croatia,Lithuania,Austria,Finland,United Kingdom,Sweden,Australia,Czech Republic,Italy
Czech Republic,38,33,5,,,,3,1,,,,,,2,,2,,2,,,3,2,,,,,,2,,,,7,,,,,,,,5,4,,
Romania,65,12,53,,,,,,,,,,1,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,,
Portugal,207,171,36,8,,,,10,1,7,7,,,5,10,,7,3,2,4,7,5,,6,,5,8,1,8,4,7,4,3,7,10,8,10,,3,,6,5,
Finland,38,12,26,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1
Switzerland,78,78,0,10,1,1,,6,,,,2,2,,1,,5,,7,7,,,,3,1,,2,,,,5,,5,,1,7,1,,2,,,6,3
France,17,9,8,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,
Norway,182,36,146,3,,,,,,,,,3,,,,,,,2,,8,,5,,1,,,,,,,,,,,5,4,,3,,2,
Armenia,61,40,21,,,,,2,4,,,1,,,4,,,,,5,,,,,,,,7,,,,,,,,,6,1,,2,,,8
Italy,268,158,110,,3,7,7,,12,10,10,,,8,,8,4,1,,1,,6,1,,10,2,,,10,10,4,6,12,10,4,4,3,2,,,3,,
Spain,459,231,228,5,12,12,12,,5,,5,12,8,10,7,3,1,5,3,8,4,3,6,,,8,4,5,12,8,1,12,1,5,6,5,2,,10,12,12,7,
Netherlands,171,129,42,,,,,8,6,1,4,7,4,,5,1,3,4,,,,4,,4,,10,10,4,4,3,3,,7,4,2,6,8,5,,,,,12
Ukraine,631,192,439,,2,,,,7,,6,8,10,6,3,7,12,,12,,,10,7,12,,3,5,10,6,6,12,3,8,6,8,12,,,,,7,4,
Germany,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,128,35,93,,,,,,,2,,5,,,2,,,,,,2,1,,1,,,3,,,2,,,10,,7,,,,,,,,
Azerbaijan,106,103,3,,7,4,2,5,3,3,,,6,3,,,,12,1,3,12,,10,,12,,,,,1,,,,,,,,3,7,7,2,,
Belgium,64,59,5,6,,3,,,2,,,,,,,4,,,4,6,8,,2,,5,,,6,,,,,,,,,,,,1,5,,7
Greece,215,158,57,12,10,,1,7,,6,3,4,,,12,,2,,,12,,,12,7,2,12,12,3,2,,2,,4,3,3,,4,6,4,,,3,10
Iceland,20,10,10,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,
Moldova,253,14,239,2,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,5
Sweden,438,258,180,1,5,6,10,4,8,12,8,,7,7,8,12,10,,8,,5,12,5,10,7,7,7,,5,7,10,10,,8,5,3,7,12,12,,10,10,
Australia,125,123,2,7,6,5,6,3,,8,,,5,1,,5,6,8,6,,,,8,2,8,4,,,,,6,2,,,,,,8,6,10,,1,2
United Kingdom,466,283,183,4,8,8,8,12,10,4,12,10,12,12,6,10,8,,10,10,1,7,3,8,3,6,6,12,,5,8,8,2,12,,10,12,10,,8,,12,6
Poland,151,46,105,,4,2,4,,,,2,,,,,6,,10,,,,,,,,,,8,,,,,,2,,,,,8,,,,
Serbia,312,87,225,,,10,,,,,,3,,4,,,,,,,,,4,,6,,,,,12,,5,6,,12,1,,7,1,4,8,,4
Estonia,141,43,98,,,,5,,,,,,,,,,,,5,,10,,,,,,,,3,,,,,,,,,,5,6,1,8,
