Id1,Id2,type
1,81,Partners
1,81,Time
2,27,Time
2,136,Time
2,129,Partners
2,45,Partners
3,182,Partners
3,171,Partners
3,122,Partners
4,179,Partners
4,123,Partners
4,148,Partners
5,170,Partners
5,65,Partners
5,87,Time
5,101,Partners
6,178,Partners
6,60,Partners
6,105,Partners
6,105,Time
7,125,Partners
7,169,Partners
7,38,Partners
8,156,Partners
8,120,Partners
8,185,Partners
8,128,Time
9,113,Computer
9,93,Partners
9,93,Time
9,76,Partners
9,149,Partners
9,58,Partners
10,41,Partners
10,41,Time
10,32,Partners
10,12,Partners
11,154,Partners
11,154,Time
11,74,Partners
11,87,Partners
12,32,Partners
12,32,Computer
12,41,Partners
13,27,Partners
13,27,Computer
13,27,Time
13,29,Partners
13,51,Partners
13,102,Time
14,85,Partners
14,18,Partners
14,159,Computer
14,159,Time
14,102,Partners
14,102,Computer
14,102,Time
15,160,Partners
15,89,Time
15,173,Time
15,145,Partners
15,145,Computer
15,145,Time
15,95,Time
15,117,Time
15,131,Partners
16,53,Time
16,164,Partners
16,164,Computer
16,164,Time
17,139,Time
17,183,Partners
17,107,Partners
17,172,Partners
18,85,Partners
18,102,Partners
19,121,Partners
19,92,Partners
20,139,Time
20,67,Partners
20,99,Partners
20,135,Partners
21,159,Partners
21,180,Partners
21,174,Partners
22,153,Partners
22,153,Time
22,114,Partners
22,147,Partners
22,104,Time
23,25,Partners
23,138,Partners
23,96,Partners
24,68,Partners
24,143,Partners
24,130,Partners
25,138,Partners
25,96,Partners
26,88,Partners
26,88,Time
26,42,Partners
26,82,Partners
26,142,Partners
27,102,Time
27,29,Partners
27,134,Time
27,30,Time
27,51,Partners
28,109,Partners
28,91,Partners
28,91,Time
29,51,Partners
30,117,Partners
30,134,Partners
30,31,Partners
31,117,Partners
31,117,Time
31,134,Partners
31,177,Time
32,41,Partners
33,115,Time
33,46,Partners
33,106,Partners
33,37,Partners
33,48,Partners
34,110,Partners
34,161,Partners
34,79,Partners
35,151,Time
35,56,Partners
36,95,Partners
36,95,Time
36,141,Computer
36,141,Time
36,98,Time
36,62,Computer
36,62,Time
37,46,Partners
37,106,Partners
38,125,Partners
38,169,Partners
39,93,Partners
39,93,Time
39,158,Time
39,176,Partners
39,62,Time
40,44,Partners
40,184,Partners
40,177,Partners
40,177,Computer
42,88,Partners
42,73,Time
42,142,Partners
42,142,Time
43,47,Partners
43,61,Partners
43,70,Partners
44,154,Time
44,184,Partners
44,184,Computer
44,184,Time
44,177,Partners
45,129,Partners
46,106,Partners
47,61,Partners
47,70,Partners
48,146,Partners
48,77,Time
48,127,Partners
48,127,Time
49,116,Partners
49,136,Partners
49,64,Partners
50,63,Time
50,99,Time
50,145,Time
50,94,Partners
50,72,Partners
50,72,Time
50,141,Partners
50,141,Time
52,139,Partners
52,125,Computer
52,165,Partners
52,165,Time
52,152,Partners
53,130,Time
53,137,Partners
53,115,Partners
53,164,Time
53,78,Partners
54,173,Partners
54,163,Partners
54,118,Partners
55,66,Partners
57,113,Partners
57,69,Partners
58,76,Partners
58,149,Partners
58,92,Partners
59,97,Partners
59,157,Partners
59,157,Time
59,166,Partners
59,155,Time
60,178,Partners
60,105,Partners
61,70,Partners
62,95,Time
62,158,Time
62,98,Time
63,179,Time
63,158,Partners
63,124,Partners
63,112,Partners
64,116,Partners
64,136,Partners
65,170,Partners
65,101,Partners
67,99,Partners
67,135,Partners
68,130,Computer
68,143,Computer
69,113,Partners
70,105,Time
71,144,Partners
71,144,Computer
71,144,Time
72,141,Partners
72,94,Partners
73,100,Partners
73,142,Time
73,150,Partners
73,151,Partners
74,154,Partners
74,87,Partners
74,175,Time
75,126,Partners
76,149,Partners
77,108,Partners
77,84,Partners
77,132,Partners
77,132,Computer
77,132,Time
78,115,Partners
78,137,Partners
79,110,Partners
79,161,Partners
80,86,Partners
82,111,Partners
83,140,Partners
84,108,Partners
84,108,Time
84,132,Partners
85,102,Partners
87,97,Time
87,154,Partners
88,142,Partners
89,95,Time
89,134,Time
89,103,Partners
90,91,Time
90,175,Partners
91,109,Partners
92,121,Partners
92,96,Computer
92,96,Time
93,176,Partners
94,141,Partners
95,98,Time
95,152,Time
96,138,Partners
96,112,Time
97,157,Partners
97,157,Time
97,166,Partners
98,133,Partners
99,135,Partners
99,130,Time
99,127,Time
99,146,Time
100,151,Partners
100,150,Partners
101,170,Partners
101,159,Computer
101,159,Time
101,102,Time
102,159,Computer
102,159,Time
103,106,Time
104,155,Partners
104,162,Partners
104,167,Partners
105,178,Partners
107,183,Partners
107,172,Partners
108,132,Partners
110,161,Partners
112,158,Partners
112,185,Time
112,124,Partners
114,153,Partners
114,147,Partners
114,147,Computer
114,147,Time
115,137,Partners
116,136,Partners
117,134,Partners
117,143,Time
117,174,Time
117,177,Time
117,118,Time
117,121,Time
118,163,Partners
118,173,Partners
119,168,Partners
119,181,Partners
120,156,Partners
120,185,Partners
122,182,Partners
122,171,Partners
123,179,Partners
123,179,Time
123,148,Partners
124,158,Partners
125,169,Partners
125,169,Time
127,146,Partners
127,146,Computer
127,146,Time
129,168,Time
130,143,Partners
131,160,Partners
131,145,Partners
133,154,Time
139,165,Partners
139,152,Partners
139,152,Time
143,163,Time
145,160,Partners
147,153,Partners
148,179,Partners
150,151,Partners
152,156,Time
152,165,Partners
152,165,Computer
155,162,Partners
155,167,Partners
156,185,Partners
157,166,Partners
159,174,Partners
159,180,Partners
162,167,Partners
163,173,Partners
165,169,Computer
168,181,Partners
171,182,Partners
172,183,Partners
174,180,Partners
177,184,Partners
